array,filename,row,col,mean_intensity,area,solidity,circularity,max_gradient,kmeans_4,dbscan,gmm,agglomerative,spectral
Array_1Crop,"Array_1Crop_1,1.bmp",1,1,74.17178971559896,615.5,0.46487915407854985,0.12948008057455912,40.19950248448356,0,0,1,0,0
Array_1Crop,"Array_1Crop_1,10.bmp",1,10,73.50847457627118,389.5,0.44236229415105055,0.1460031440999606,33.28663395418648,0,0,2,0,0
Array_1Crop,"Array_1Crop_1,11.bmp",1,11,73.61731991525424,330.0,0.5509181969949917,0.20600021372204605,36.68787265568828,0,0,2,0,0
Array_1Crop,"Array_1Crop_1,12.bmp",1,12,74.20656779661017,580.5,0.4359744648892227,0.08887626859409176,40.52159917870962,0,-1,1,0,0
Array_1Crop,"Array_1Crop_1,13.bmp",1,13,88.97007415254237,32.5,0.7303370786516854,0.31689585005515614,24.698178070456937,1,-1,0,2,2
Array_1Crop,"Array_1Crop_1,14.bmp",1,14,76.51694915254237,603.5,0.47130027333073016,0.12645304145510694,34.058772731852805,0,0,1,0,0
Array_1Crop,"Array_1Crop_1,15.bmp",1,15,75.22219279661017,573.5,0.44734789391575663,0.1188881132067364,34.17601498127012,0,0,1,0,0
Array_1Crop,"Array_1Crop_1,16.bmp",1,16,75.5270127118644,377.5,0.46662546353522866,0.21282751817929024,31.240998703626616,0,0,2,0,0
Array_1Crop,"Array_1Crop_1,17.bmp",1,17,75.7542372881356,358.5,0.5354742345033607,0.24788325529288885,35.4682957019364,0,0,2,0,0
Array_1Crop,"Array_1Crop_1,18.bmp",1,18,76.36202330508475,355.0,0.5338345864661654,0.24458197984246188,38.2099463490856,0,0,2,0,0
Array_1Crop,"Array_1Crop_1,19.bmp",1,19,76.76774364406779,347.5,0.5889830508474576,0.28032232114138844,36.359317925395686,0,0,2,0,0
Array_1Crop,"Array_1Crop_1,2.bmp",1,2,74.29819915254237,1080.5,0.9053204859656473,0.5406936676694284,53.46026561849464,2,-1,3,1,1
Array_1Crop,"Array_1Crop_1,20.bmp",1,20,77.10805084745763,547.0,0.44453474197480697,0.11285692646917837,36.71511950137164,0,0,1,0,0
Array_1Crop,"Array_1Crop_1,21.bmp",1,21,77.93333333333334,352.0,0.5317220543806647,0.26903230597261774,39.824615503479755,0,0,2,0,0
Array_1Crop,"Array_1Crop_1,3.bmp",1,3,74.49682203389831,539.5,0.4740773286467487,0.13017842457224565,44.181444068749045,0,0,1,0,0
Array_1Crop,"Array_1Crop_1,4.bmp",1,4,69.81435381355932,916.0,0.8536812674743709,0.400465927368743,55.08175741568164,3,-1,3,3,3
Array_1Crop,"Array_1Crop_1,5.bmp",1,5,64.36493644067797,1215.0,0.94663030775224,0.6827734008948307,88.0,3,-1,3,3,3
Array_1Crop,"Array_1Crop_1,6.bmp",1,6,72.66393008474576,593.5,0.5116379310344827,0.20175345139316486,60.530983801686226,0,-1,1,0,0
Array_1Crop,"Array_1Crop_1,7.bmp",1,7,65.08130296610169,1906.5,0.9412490743026414,0.7222841207900714,67.06713054842886,3,-1,3,3,3
Array_1Crop,"Array_1Crop_1,8.bmp",1,8,73.47484110169492,331.0,0.5746527777777778,0.24842177230299,35.4682957019364,0,0,2,0,0
Array_1Crop,"Array_1Crop_1,9.bmp",1,9,73.9417372881356,356.5,0.6304155614500442,0.25987430580026855,32.89376840679705,0,0,2,0,0
Array_1Crop,"Array_1Crop_10,1.bmp",10,1,75.33077330508475,312.5,0.5863039399624765,0.2712324477811545,47.265209192385896,0,0,2,0,0
