array,row,col,filename,defect_type
Array_4Crop,10,13,"Array_4Crop_10,13.bmp",Missing
Array_4Crop,10,16,"Array_4Crop_10,16.bmp",Missing
Array_4Crop,10,4,"Array_4Crop_10,4.bmp",Missing
Array_4Crop,10,5,"Array_4Crop_10,5.bmp",Missing
Array_4Crop,10,8,"Array_4Crop_10,8.bmp",Missing
Array_4Crop,11,10,"Array_4Crop_11,10.bmp",Missing
Array_4Crop,11,15,"Array_4Crop_11,15.bmp",Missing
Array_4Crop,11,16,"Array_4Crop_11,16.bmp",Missing
Array_4Crop,11,8,"Array_4Crop_11,8.bmp",Missing
Array_4Crop,11,9,"Array_4Crop_11,9.bmp",Missing
Array_4Crop,12,19,"Array_4Crop_12,19.bmp",Missing
Array_4Crop,12,5,"Array_4Crop_12,5.bmp",Missing
Array_4Crop,12,8,"Array_4Crop_12,8.bmp",Missing
Array_4Crop,12,9,"Array_4Crop_12,9.bmp",Missing
Array_4Crop,13,16,"Array_4Crop_13,16.bmp",Missing
Array_4Crop,13,5,"Array_4Crop_13,5.bmp",Missing
Array_4Crop,13,8,"Array_4Crop_13,8.bmp",Missing
Array_4Crop,13,9,"Array_4Crop_13,9.bmp",Missing
Array_4Crop,14,15,"Array_4Crop_14,15.bmp",Missing
Array_4Crop,14,16,"Array_4Crop_14,16.bmp",Missing
Array_4Crop,14,7,"Array_4Crop_14,7.bmp",Missing
Array_4Crop,14,8,"Array_4Crop_14,8.bmp",Missing
Array_4Crop,14,9,"Array_4Crop_14,9.bmp",Missing
Array_4Crop,15,15,"Array_4Crop_15,15.bmp",Missing
Array_4Crop,15,16,"Array_4Crop_15,16.bmp",Missing
Array_4Crop,15,8,"Array_4Crop_15,8.bmp",Missing
Array_4Crop,16,15,"Array_4Crop_16,15.bmp",Missing
Array_4Crop,16,16,"Array_4Crop_16,16.bmp",Missing
Array_4Crop,16,8,"Array_4Crop_16,8.bmp",Missing
Array_4Crop,16,9,"Array_4Crop_16,9.bmp",Missing
Array_4Crop,17,10,"Array_4Crop_17,10.bmp",Missing
Array_4Crop,17,15,"Array_4Crop_17,15.bmp",Missing
Array_4Crop,17,16,"Array_4Crop_17,16.bmp",Missing
Array_4Crop,17,8,"Array_4Crop_17,8.bmp",Missing
Array_4Crop,17,9,"Array_4Crop_17,9.bmp",Missing
Array_4Crop,18,15,"Array_4Crop_18,15.bmp",Missing
Array_4Crop,18,16,"Array_4Crop_18,16.bmp",Missing
Array_4Crop,18,8,"Array_4Crop_18,8.bmp",Missing
Array_4Crop,4,12,"Array_4Crop_4,12.bmp",Missing
Array_4Crop,4,16,"Array_4Crop_4,16.bmp",Missing
Array_4Crop,4,9,"Array_4Crop_4,9.bmp",Missing
Array_4Crop,5,13,"Array_4Crop_5,13.bmp",Missing
Array_4Crop,5,16,"Array_4Crop_5,16.bmp",Missing
Array_4Crop,5,5,"Array_4Crop_5,5.bmp",Missing
Array_4Crop,5,8,"Array_4Crop_5,8.bmp",Missing
Array_4Crop,6,10,"Array_4Crop_6,10.bmp",Missing
Array_4Crop,6,15,"Array_4Crop_6,15.bmp",Missing
Array_4Crop,6,16,"Array_4Crop_6,16.bmp",Missing
Array_4Crop,6,5,"Array_4Crop_6,5.bmp",Missing
Array_4Crop,6,8,"Array_4Crop_6,8.bmp",Missing
Array_4Crop,6,9,"Array_4Crop_6,9.bmp",Missing
Array_4Crop,7,16,"Array_4Crop_7,16.bmp",Missing
Array_4Crop,7,8,"Array_4Crop_7,8.bmp",Missing
Array_4Crop,8,10,"Array_4Crop_8,10.bmp",Missing
Array_4Crop,8,11,"Array_4Crop_8,11.bmp",Missing
Array_4Crop,8,12,"Array_4Crop_8,12.bmp",Missing
Array_4Crop,8,15,"Array_4Crop_8,15.bmp",Missing
Array_4Crop,8,16,"Array_4Crop_8,16.bmp",Missing
Array_4Crop,8,5,"Array_4Crop_8,5.bmp",Missing
Array_4Crop,8,9,"Array_4Crop_8,9.bmp",Missing
Array_4Crop,9,16,"Array_4Crop_9,16.bmp",Missing
Array_4Crop,9,9,"Array_4Crop_9,9.bmp",Missing
Array_4Crop,1,10,"Array_4Crop_1,10.bmp",Collapsed
Array_4Crop,1,11,"Array_4Crop_1,11.bmp",Collapsed
Array_4Crop,1,12,"Array_4Crop_1,12.bmp",Collapsed
Array_4Crop,1,15,"Array_4Crop_1,15.bmp",Collapsed
Array_4Crop,1,19,"Array_4Crop_1,19.bmp",Collapsed
Array_4Crop,1,2,"Array_4Crop_1,2.bmp",Collapsed
Array_4Crop,1,21,"Array_4Crop_1,21.bmp",Collapsed
Array_4Crop,1,8,"Array_4Crop_1,8.bmp",Collapsed
Array_4Crop,10,20,"Array_4Crop_10,20.bmp",Collapsed
Array_4Crop,10,21,"Array_4Crop_10,21.bmp",Collapsed
Array_4Crop,11,1,"Array_4Crop_11,1.bmp",Collapsed
Array_4Crop,11,17,"Array_4Crop_11,17.bmp",Collapsed
Array_4Crop,11,18,"Array_4Crop_11,18.bmp",Collapsed
Array_4Crop,11,19,"Array_4Crop_11,19.bmp",Collapsed
Array_4Crop,11,2,"Array_4Crop_11,2.bmp",Collapsed
Array_4Crop,11,20,"Array_4Crop_11,20.bmp",Collapsed
Array_4Crop,11,21,"Array_4Crop_11,21.bmp",Collapsed
Array_4Crop,11,3,"Array_4Crop_11,3.bmp",Collapsed
Array_4Crop,11,4,"Array_4Crop_11,4.bmp",Collapsed
Array_4Crop,12,1,"Array_4Crop_12,1.bmp",Collapsed
