array,row,col,defect_type,method
Array_4,1,3,Good,onepass
Array_4,1,4,Good,onepass
Array_4,1,5,Good,onepass
Array_4,1,6,Good,onepass
Array_4,1,7,Good,onepass
Array_4,1,8,Good,onepass
Array_4,1,9,Good,onepass
Array_4,1,10,Good,onepass
Array_4,1,11,Good,onepass
Array_4,1,13,Good,onepass
Array_4,1,14,Good,onepass
Array_4,1,15,Good,onepass
Array_4,1,16,Good,onepass
Array_4,1,17,Good,onepass
Array_4,1,18,Good,onepass
Array_4,1,21,Good,onepass
Array_4,2,1,Good,onepass
Array_4,2,2,Good,onepass
Array_4,2,3,Good,onepass
Array_4,2,4,Good,onepass
Array_4,2,5,Good,onepass
Array_4,2,6,Good,onepass
Array_4,2,7,Good,onepass
Array_4,2,8,Good,onepass
Array_4,2,9,Good,onepass
Array_4,2,10,Good,onepass
Array_4,2,11,Good,onepass
Array_4,2,15,Good,onepass
Array_4,2,17,Good,onepass
Array_4,2,18,Good,onepass
Array_4,2,19,Good,onepass
Array_4,2,21,Good,onepass
Array_4,3,1,Good,onepass
Array_4,3,2,Good,onepass
Array_4,3,3,Good,onepass
Array_4,3,4,Good,onepass
Array_4,3,5,Good,onepass
Array_4,3,6,Good,onepass
Array_4,3,7,Good,onepass
Array_4,3,8,Good,onepass
Array_4,3,9,Good,onepass
Array_4,3,10,Good,onepass
Array_4,3,11,Good,onepass
Array_4,3,12,Good,onepass
Array_4,3,13,Good,onepass
Array_4,3,14,Good,onepass
Array_4,3,15,Good,onepass
Array_4,3,16,Good,onepass
Array_4,3,17,Good,onepass
Array_4,3,18,Good,onepass
Array_4,3,19,Good,onepass
Array_4,3,20,Good,onepass
Array_4,3,21,Good,onepass
Array_4,4,1,Good,onepass
Array_4,4,2,Good,onepass
Array_4,4,3,Good,onepass
Array_4,4,4,Good,onepass
Array_4,4,5,Good,onepass
Array_4,4,6,Good,onepass
Array_4,4,7,Good,onepass
Array_4,4,8,Good,onepass
Array_4,4,9,Good,onepass
Array_4,4,10,Good,onepass
Array_4,4,13,Good,onepass
Array_4,4,14,Good,onepass
Array_4,4,15,Good,onepass
Array_4,4,16,Good,onepass
Array_4,4,17,Good,onepass
Array_4,4,18,Good,onepass
Array_4,4,19,Good,onepass
Array_4,4,20,Good,onepass
Array_4,4,21,Good,onepass
Array_4,5,1,Good,onepass
Array_4,5,2,Good,onepass
Array_4,5,3,Good,onepass
Array_4,5,4,Good,onepass
Array_4,5,5,Good,onepass
Array_4,5,6,Good,onepass
Array_4,5,7,Good,onepass
Array_4,5,8,Good,onepass
Array_4,5,9,Good,onepass
Array_4,5,10,Good,onepass
Array_4,5,13,Good,onepass
Array_4,5,14,Good,onepass
Array_4,5,16,Good,onepass
Array_4,5,17,Good,onepass
Array_4,5,18,Good,onepass
Array_4,5,19,Good,onepass
Array_4,5,20,Good,onepass
Array_4,5,21,Good,onepass
Array_4,6,1,Good,onepass
Array_4,6,2,Good,onepass
Array_4,6,3,Good,onepass
Array_4,6,4,Good,onepass
Array_4,6,5,Good,onepass
Array_4,6,6,Good,onepass
Array_4,6,7,Good,onepass
Array_4,6,8,Good,onepass
Array_4,6,9,Good,onepass
Array_4,6,10,Good,onepass
Array_4,6,11,Good,onepass
Array_4,6,12,Good,onepass
Array_4,6,13,Good,onepass
Array_4,6,14,Good,onepass
Array_4,6,16,Good,onepass
Array_4,6,17,Good,onepass
Array_4,6,18,Good,onepass
Array_4,6,19,Good,onepass
Array_4,7,1,Good,onepass
Array_4,7,2,Good,onepass
Array_4,7,3,Good,onepass
Array_4,7,4,Good,onepass
Array_4,7,7,Good,onepass
Array_4,7,8,Good,onepass
Array_4,7,9,Good,onepass
Array_4,7,10,Good,onepass
Array_4,7,11,Good,onepass
